date,symbol,time_point,time_idx,output_name,value
2025-01-06,300584,11:20:00.000,11,output_7,0.008930533896378554
2025-01-06,300584,11:30:05.000,12,output_7,0.04208055307217152
2025-01-06,300584,13:10:00.000,13,output_7,0.01190501252869049
2025-01-06,300584,13:20:00.000,14,output_7,0.045524741339193736
2025-01-06,300584,13:30:00.000,15,output_7,0.015809751817401706
2025-01-06,300584,13:40:00.000,16,output_7,0.020923433421878412
2025-01-06,300584,13:50:00.000,17,output_7,0.058783694657365
2025-01-06,300584,14:00:00.000,18,output_7,0.06347504605316052
2025-01-06,300584,14:10:00.000,19,output_7,0.05108489454601361
2025-01-06,300584,14:20:00.000,20,output_7,0.03925199299715359
2025-01-06,300584,14:30:00.000,21,output_7,0.034689724015917904
2025-01-06,300584,14:40:00.000,22,output_7,0.015980147507345912
2025-01-06,300584,14:50:00.000,23,output_7,0.07783987703188808
2025-01-06,300584,14:56:00.000,24,output_7,0.011586742994200096
2025-01-06,300584,14:57:05.000,25,output_7,0.015272925722589365
2025-01-06,300584,15:05:00.000,26,output_7,0.0
2025-01-06,300947,09:31:00.000,0,output_7,0.12561018799260695
2025-01-06,300947,09:40:00.000,1,output_7,0.08630198596880527
2025-01-06,300947,09:50:00.000,2,output_7,0.15240907443323942
2025-01-06,300947,10:00:00.000,3,output_7,0.07246438484682052
2025-01-06,300947,10:10:00.000,4,output_7,0.10140832729195659
2025-01-06,300947,10:20:00.000,5,output_7,0.02552646344959934
2025-01-06,300947,10:30:00.000,6,output_7,0.05313207333260324
2025-01-06,300947,10:40:00.000,7,output_7,0.026931370016690236
2025-01-06,300947,10:50:00.000,8,output_7,0.07293380813304316
2025-01-06,300947,11:00:00.000,9,output_7,0.03794536963773088
2025-01-06,300947,11:10:00.000,10,output_7,0.08439728329098631
2025-01-06,300947,11:20:00.000,11,output_7,0.06644232792489783
2025-01-06,300947,11:30:05.000,12,output_7,0.040413141744391846
2025-01-06,300947,13:10:00.000,13,output_7,0.028449114444493516
2025-01-06,300947,13:20:00.000,14,output_7,0.08206966153306823
2025-01-06,300947,13:30:00.000,15,output_7,0.024144063034556025
2025-01-06,300947,13:40:00.000,16,output_7,0.0332084702162213
2025-01-06,300947,13:50:00.000,17,output_7,0.040163763999769606
